song_name,average_ms_played
...Baby One More Time - Remastered,211320.0
...Familiar Place,928.0
...Ready For It?,75045.37037037036
...Ready For It? - BloodPop® Remix,189508.0
...Ready for It?,212368.0
...To Die For,2089.0
0 To 100 / The Catch Up,118474.2
00000 Million - Recorded at Spotify Studios NYC,81344.0
03' Adolescence,264213.0
03' Bonnie & Clyde,743.0
1 Sun,2852.25
1 Thing,126621.0
"1 step forward, 3 steps back",6088.5
1+1 (feat. Amir) - Banx & Ranx Remix,3076.5
"1, 2 Step (feat. Missy Elliott)",58911.0
"1, 2 Step (feat. Missy Elliott) - Don Candiani Reggaeton Mix - Edit",144240.225
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",201526.0
"1, 2, 3, 4",7082.0
"1,000 Years",2507.0
"1,2,3 dayz up (feat. SOPHIE)",24125.2
1-800-273-8255,9801.0
1-800-miss-ur-guts,1002.0
10 3am (acoustic) (3:45),1625.0
10 Bands,100622.25
10 Things I Hate About You,48714.529411764706
"10,000 Emerald Pools",185.0
"10,000 Hours",7709.0
"10,000 Hours (with Justin Bieber)",32646.727272727272
"10,000 Hours (with Justin Bieber) - Piano",86798.5
"10,000 Tears (feat. Ed Sheeran)",6873.0
"10,000 Weight in Gold",10402.0
100 Bad Days,39192.125
100 In A 55,109384.0
100 Proof,0.0
100 Rounds,148700.0
100 Ways,89129.5
100 Years,12492.0
100 degrees,2554.0
100$ Bill,1462.0
100$ Bill - (A Tribute to Jay-Z),8546.6
1000 Doves,97801.68
1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),100867.83333333333
1000 Times,831.0
1000 reasons,5802.0
105 Degrees,1044.0
10:35,151762.17777777778
10x Stronger,38528.0
11 Blocks,7511.5
11 Minutes (with Halsey feat. Travis Barker),46300.0
12 Days Of Christmas,47581.25
12 Nights,490.0
1234,18455.0
1234 1234,1028.0
13,155264.0
13 Beaches,67725.77777777778
13 Missed Calls,3842.6666666666665
1435,1462.0
15 Will Get You 20,464.0
151 Rum,3297.0
16 CARRIAGES,102569.0
17,57960.88888888889
17 - Single Version,1625.0
18,838.6666666666666
18 Days,2623.5
19 You + Me,61771.4
1901,252166.0
1950,93608.94444444444
1953,37110.142857142855
1957,204213.0
1973,28189.0
1973 - Acoustic,29279.0
1985,146412.9090909091
1999,59334.0
2 / 14,0.0
2 Be Loved (Am I Ready),2425.0
2 Become 1,2647.0
2 Die 4,9659.0
2 Girls (feat. Jowynalex),46045.0
2 Heads,45930.6
2 Hold U,0.0
2 On (feat. ScHoolboy Q),7232.5
2 Phones,71638.5
2 Places at 1 Time,18323.5
2 Souls on Fire (feat. Quavo),66406.73809523809
20 Dollar Nose Bleed,1137.0
20 Excuses,575.0
20 Something,759.0
20 Years,103527.91666666667
20 Years - Live at Eddie's Attic,155841.44444444444
20 in a Chevy,8470.5
2000 Miles,166802.0
2002,83502.51851851853
2002 - Jay Pryor Remix,61765.0
2005,171703.0
2020,0.0
2055,26261.928571428572
21,4469.5
21 Guns,192510.3125
"21 Guns (feat. Rebecca Naomi Jones, Christina Sajous, Mary Faber, Stark Sands, John Gallagher Jr., Michael Esper, The American Idiot Broadway Company)",173161.0
21 Questions,3668.0
21 Reasons (feat. Ella Henderson),281739.3333333333
21 Summer,22527.2
21st Century Vampire,1695.0
22,9123.5
22 (Taylor's Version),1900.0
22 - Acoustic,14891.0
223's (feat. 9lokknine),1160.0
23,143518.4516129032
23 - Live,211179.2962962963
23 - Steel Mix,899.25
24,148602.25
24 Hours,1323.0
24 Hours (feat. Lil Durk),2089.0
24/5,1555.0
24/7,4793.5
24K Magic,27517.0
25,12956.0
25 To Life,1679.6666666666667
25 in Barcelona,52297.0
26,158716.66666666666
27,16194.0
28 Hours / Wherever We Are,789.0
29,135853.24468085106
29 - Stripped,133325.27777777778
29 Palms - 2006 Remaster,3297.0
2U,5165.181818181818
2step,153626.0
3,111743.5
3 AM,31607.0
3 Am (Acoustic),32624.0
"3 Gymnopédies: No. 2, Lent et triste",152241.0
3 Minutes 'Til New Years,277.0
3 Nights,26355.833333333332
3 Rounds and a Sound,1160.0
3 Things,0.0
3 Vets,71209.0
3 a.m.,2901.5
30,2106.75
30 Days In The Hole,119060.0
308,9287.0
34+35,97991.3288590604
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",89892.05263157895
360,3343.0
365,152671.0
365 Days,44465.5
3:15,1597.5
3AM,112581.33333333333
3AM (Pull Up) [feat. MØ],2252.0
3AM - 2007 Remaster,122443.55
3D (feat. Jack Harlow),52414.75
3am,50355.48387096774
3am (Acoustic Remix),40477.5
3am Acoustic Remix ( Tabitha's Secret ? Version Digitally Remastered ),1300.0
4 And 20,307106.0
4 Carats,464.0
4 EVER 4 ME,105683.2
4 Gold Chains - (feat. Clams Casino),640.0
4 Lane Gone,57786.333333333336
4 Minutes (feat. Justin Timberlake & Timbaland),102009.5
4 X Life,18634.153846153848
40 Day Dream,110187.0
40 Day Dream - 2019 - Remaster,4295.0
400 Lux,99127.25
400 Lux - Live In Concert 2013,254063.0
42,102969.75
44 More,3558.0
4422,65108.333333333336
45,131181.0
4runner,10666.0
4x4 (feat. Nelly),156091.875
4x4 - Live,152693.0
5 O'Clock (feat. Lily Allen & Wiz Khalifa),141416.5
5-1-5-0,1747.3333333333333
5/6,178606.5
50 Shades of Crazy,394.0
50 Ways to Leave Your Lover,61375.75
50 Ways to Say Goodbye,156638.77777777778
5:15,1044.0
5:19,0.0
5AM,0.0
6 Foot 7 Foot,248586.0
6 Inch (feat. The Weeknd),1671.0
6 Months,905.0
6's to 9's - Analog Sessions,1258.0
6.6 Gigue,981.0
60 Seconds,1195.5
66 Days,102093.7
679 & No Diggity,162725.0
679 (feat. Remy Boyz),61555.0
7 Days,650.0
7 Minutes,1770.0
7 Minutes In Heaven (Atavan Halen),3877.0
7 Minutes in Heaven,183559.0
7 Rings,113638.0
7 Summers,52893.5
7 Things - Live,59043.53125
7 Things - Single Version,56095.84
7 Years,128735.45454545454
7 rings,146589.70153061225
7 rings - live,94037.71428571429
7/11,99610.0
8,70326.26785714286
8 Days of Christmas,105234.75
80s Mercedes,71206.96
80s Mercedes (Live from SXSW 2016),228403.0
867-5309 / Jenny,3227.0
8TEEN,66722.25
8th Grade,2113.0
9,3343.0
9 Crimes,5387.0
9 To 5 - The Voice Performance,154027.6626506024
9 to 5,78616.22222222222
9 to 5 (FROM THE STILL WORKING 9 TO 5 DOCUMENTARY),44898.142857142855
9.13,30969.5
90 Days (feat. Wrabel),1393.0
90's Country,17624.619047619046
911,65100.38888888889
911 (Emergency),3064.5
928 Miles,5003.5
93 Million Miles,46851.0
95 Years,90195.5
99 Luftballons,2345.0
99 Problems,60364.0
99 Red Balloons,3204.0
99 boys,2421.0
999 (with Camilo),7400.333333333333
9mm and a Three Piece Suit,90548.6
9th of october,84301.33333333333
<maybe> it's my fault,405.0
?,1393.0
A Bar Song (Tipsy),109778.1914893617
A Beautiful Life,2414.0
A Beautiful World,348.0
"A Better Place, a Better Time",98858.73333333334
A Better Son/Daughter,2275.0
A Better Way To Love,263617.0
A Bower Scene,4731.0
A Brand New Day (BTS World Original Soundtrack) [Pt. 2],6814.0
A Broken Wing,1091.0
A Bushel and a Peck,141828.83333333334
"A Bushel and a Peck (with David Rose & His Orchestra) - From ""Guys and Dolls""",11400.0
A Case of You,859.0
A Casual Look,8614.0
A Cautionary Tale,27610.37037037037
A Change Is Gonna Come,3297.0
A Change Is Gonna Come - Recorded At Spotify Studios NYC,4945.0
A Closed My Mind WITH an Open Mouth,16509.0
A Concert Six Months From Now,29790.0
A Country Visit - From the Netflix Series “Bridgerton Season Two”,1237.0
A Court of Thorns and Roses,61704.0
A Dangerous Thing,183253.0
A Dark Congregation,159897.4
A Day For The Cat In The Hat - Original Broadway Cast Recording,3031.285714285714
A Day In The Life - Original Version,3900.0
A Day In The Life - Remastered 2009,25078.333333333332
A Drop in the Ocean,205993.19607843139
A Dustland Fairytale,2752.5714285714284
A Face Like Mine,177678.0
"A Fever You Can't Sweat Out Medley - Live at Amway Center, Orlando, FL, 4/14/2017",113887.6
A Fool in Love,120253.0
A Fool's Dance,273906.0
A Gift For Edwina - From the Netflix Series “Bridgerton Season Two”,1258.0
A Girl Like You,2642.6666666666665
A Girl Worth Fighting For,17284.0
"A Girl Worth Fighting For (Redux) - From ""Mulan II""/Soundtrack Version",1718.0
A Good Night,203453.0
A Grand Finish,1600.0
A Groovy Kind of Love,1462.0
A Guy Walks Into a Bar,71001.0
A Guy with a Girl,16415.333333333332
A Hallelujah Christmas,290018.0
A Hard Day's Night - Remastered 2009,33683.75
A Haunted House,6873.0
A Holly Jolly Christmas,125684.66666666667
A Holly Jolly Christmas - Single Version,1535.0
A Home,152060.57142857142
A Kind of Hunger,45863.269230769234
A Kiss,5061.0
A Lack of Color,7314.0
A Life That's Good,127737.41935483871
A Life That's Good - Live,82358.0
A Little Bit Of Everything,31415.25
A Little Bit Stronger,1547.3333333333333
A Little Bit Trouble,2468.6666666666665
A Little Bit Yours,49112.875
A Little Bit of Good,30513.0
A Little Brains – a Little Talent,190113.0
"A Little Brains, A Little Talent",170893.0
"A Little Brains, a Little Talent (from ""Damn Yankees"")",201575.0
A Little Dental Music,1764.0
A Little Dive Bar in Dahlonega,63840.4
A Little Good News,1439.0
"A Little Less Sixteen Candles, A Little More ""Touch Me""",85373.14285714286
A Little More,59415.8
A Little More Summertime,1346.0
A Little More You,905.0
A Little Pain - Recorded at Sound Stage Nashville,4881.5
A Little Party Never Killed Nobody (All We Got),107937.09090909091
A Little Party Never Killed Nobody (All We Got) - (A Tribute to Fergie and Q Tip and Goonrock),156900.27272727274
A Little Party Never Killed Nobody (All We Got) - Paige Festival Remix,66698.5
A Little Priest,277907.6666666667
A Little Too Much,187026.0
A Lonely Life,2925.0
A Lonely September,2252.0
A Long And Happy Life,147295.08474576272
A Long Way Past The Past,222675.91666666666
A Lot More Free,156707.0
A Love Based on Friendship,554.0
A Love Like This,4481.0
A Love Like War (feat. Vic Fuentes),3459.0
A Mad Russian's Christmas - Instrumental,155710.5
A Man Doesn't Know,60514.125
A Man Doesn't Know (Reprise),48500.375
A Man Doesn't Know (Reprise) - 1994 Original Cast Recording,3041.0
A Meu Favor,2832.0
A Million Dreams,99640.5172413793
A Million Dreams (Reprise),9023.727272727272
A Million Dreams - Reprise,29211.666666666668
A Moment Like This,142421.2
A Moment of Silence,111303.57142857143
A Moment of Violence,66381.8
A Mother Never Rests,1002.0
A New Day Has Come,1416.0
A New Horizon,2113.0
A New York Christmas,5061.0
A Night In Tunisia - Rudy Van Gelder Edition / 2003 Remaster,5939.0
A Nightmare on My Street,295059.0
A Nonsense Christmas,110495.57142857143
A Note from Grandma,2397.0
A Note from Linda,117357.2
A Pirate Looks At Forty,79548.0
A Place For Us (feat. Ynnox),95201.0
A Place Like This,260669.0
A Public Affair,746.0
A Quien Le Importa,2461.0
A Quiet Life,178720.0
A Room of Her Own (TS Version),12707.0
A Safe Place to Land (feat. John Legend),86167.0
A Second to Midnight,107266.0
"A Sentimental Man - From ""Wicked"" Original Broadway Cast Recording/2003",38230.0
A Silver Lining,135636.0
"A Sky Like I've Never Seen (From the Amazon Original Movie ""Wildcat"")",179842.85714285713
A Soft Place to Land,48146.153846153844
A Song About Love,1021.0
A Song About a Girl,17293.0
A Song For Mama,27051.0
A Song For You,128642.84615384616
A Song With No Name,13351.0
A Song for Everything,60724.0
A Song for Jeffrey - Mono,0.0
A Song for You,2391.0
A Song to Remember,1036.6666666666667
A Storm on a Summers Day,4202.0
A Summer in Ohio,2925.0
A Sunday Kind Of Love,52503.5
A Tale of 2 Citiez,269786.0
A Tattered Line of String,20472.0
A Teenager In Love,26807.0
A Terrible Ride,6431.0
A Thousand Bad Times,1857.0
A Thousand Miles,54376.88888888889
A Thousand Miles (Live Acoustic),278346.0
A Thousand Miles - Acoustic,1904.0
A Thousand Years,140398.5
A Thousand Years (In the Style of Christina Perri),127741.0
A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,107848.78461538462
A Troubled Mind,1896.0
A Wake (feat. Evan Roman),226049.0
A Walk Through Hell,44080.0
A Way Back to Then,1216.0
A Week Ago,109216.0
"A White Demon Love Song - From ""The Twilight Saga: New Moon""",1728.0
A Whiter Shade of Pale - Original Single Version,4051.5
A Whole Lot More to Me,2182.0
A Whole New World (End Title),83891.83333333333
"A Whole New World (End Title) - From ""Aladdin""",107026.25
"A Whole New World - From ""Aladdin"" / Soundtrack Version",118653.5
A Woman Like You,2112.8
A World So Full of Love,2693.0
A Year Without Rain,234333.0
A closeness,126301.0
A&W,50145.625
A-Punk,2438.0
A-Team,23870.0
A-Team - Tv Series Theme,4876.0
A-YO,164361.74444444446
A.I.E.,57734.0
A.M.,98550.4
A.M. RADIO,140183.85714285713
AA,26942.136363636364
ABBY,2476.3333333333335
ABC,5166.0
ABRACADABRA. - Reloaded MIXTAPE,176811.0
ADIVINO,1137.0
ALIEN SUPERSTAR,31722.176470588234
ALL MY GIRLS ARE TOMBOYS,16320.0
ALL THAT WE NEED,417.0
ALL UP IN YOUR MIND,58456.333333333336
ALLIIGATOR TEARS,2510.5
ALREADY,1927.0
ALWAYS DO,32218.428571428572
AM I DREAMING (feat. Miley Cyrus),122713.0
AM To PM,98069.0
AMERICA HAS A PROBLEM,71257.33333333333
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),92055.0
AMERICAN HORROR SHOW,7806.333333333333
AMERIICAN REQUIEM,790.0
ANGELS & DEMONS,8213.0
AOK,5403.666666666667
APT.,117556.0
ARTPOP,41160.8125
ATLiens,2693.0
ATM (feat. Missy Elliott),9163.5
ATTENTION,72044.25
AVA,116025.67692307693
AVA (Sped Up),135188.25
"Aaron Burr, Sir",1114.0
Aaron's Party (Come Get It),0.0
Aawake At Night,45736.23529411765
Able May,111000.0
About 3am - Commentary,20742.5
About All About That Bass - Commentary,9987.142857142857
About Bang Dem Sticks - Commentary,16104.25
About Close Your Eyes - Commentary,12300.0
About Credit - Commentary,19227.222222222223
About Damn Time,54318.89655172414
About Dear Future Husband - Commentary,19245.333333333332
About Like I'm Gonna Lose You - Commentary,13995.0
About Lips Are Movin - Commentary,16930.333333333332
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,936.0
About Mr. Almost - Commentary,19525.166666666668
About My Selfish Heart - Commentary,20223.4
About No Good For You - Commentary,15683.333333333334
About The Best Part (Interlude) - Commentary,11760.6
About Title - Commentary,13591.0
About Us,2136.0
About Walkashame - Commentary,19755.125
About What If I - Commentary,12571.57142857143
About a Bruise - Recorded at Spotify Studios NYC,10100.0
About a Girl,2182.0
Above It All,131633.0
Above The Law,166329.6
Above the Storm,294730.0
Abracadabra,6166.5
Abre Los Ojos,1776.0
Abre o Portão Que Eu Cheguei - Ao Vivo,23521.0
Absolutely (Story of a Girl) - Radio Mix,50897.0
Abstract (Psychopomp),79458.0
Acapella,3587.0
Acapulco,51648.125
Accelerate (feat. Ty Dolla $ign & 2 Chainz),198952.60975609755
Acceptance Speech - 8Track,1555.0
Accidental Eavesdropping - From the Netflix Series “Bridgerton Season Two”,1621.0
Accidentally In Love,2832.6666666666665
"Accidentally In Love - From ""Shrek 2"" Soundtrack",188386.0
Accidentally on Purpose,661.5
Achilles Come Down,810.0
Acquainted,116026.84375
Across The Room,216056.0
"Across The Universe - From ""Across The Universe"" Soundtrack",65088.833333333336
Across The Universe - Remastered 2009,42611.6
Across the Sea,128557.79012345678
Act I Finale,31850.583333333332
Act Like You Don't,104702.5
Act Up,21640.0
Actin' Up,1621.3333333333333
Adam and Eve,250760.0
Adam's Song,66192.5
Adan y Eva,64734.0
Add To Me - Recorded At Spotify Studios NYC,5642.0
Add Up My Love,106033.0
Adderall (Corvette Corvette),124181.0
Addicted,99442.94736842105
Addicted - Acoustic,81373.5
Addicted To Love,137571.202020202
Addicted To Love - Edit,1927.0
"Addicted To Love - Live at Camden Palace, London; 1994 Remastered Version",25611.5
Addicted To Love - Remix,2104.6666666666665
Addicted To You,134691.83333333334
Addicted to Love - Live in Arnhem,278709.0
Addicted to You,19678.0
Adelaide's Lament,129329.33333333333
Adelaide's Lament (Reprise),52917.666666666664
Adelina,114504.0
Adjö farväl,123448.0
Admit It!!!,11656.0
Adore - Piano Unplugged,35903.0
Adore You,140208.80412371134
Adore You - Remix,174564.66666666666
Adore you (Decimal Eon Remix),12970.0
Adorn,52212.2
Adrienne,0.0
Adventure of a Lifetime,30739.466666666667
Aeroplane,0.0
Aesthetic,1344.0
Affection,3877.0
Afire Love,274420.1666666667
Afraid of the Dark,0.0
Africa,153078.4
After A Few,1663.3333333333333
After All of This and Everything,1365.0
After Hours,12166.666666666666
After Midnight,8948.333333333334
After Party,77217.0
After Rain,18273.5
After The Lights Go Down Low,789.0
After The Storm,102428.14285714286
After You,92388.0
After You Cry,105388.81818181818
After the Afterparty (feat. Lil Yachty),183925.0
"After the Afterparty (feat. RAYE, Stefflon Don and Rita Ora) - VIP Mix",109273.83333333333
After the Glitter Fades - 2016 Remaster,1393.0
After the Rain,481.3333333333333
After the Storm,71951.71428571429
Afterglow,80522.0
Afterlife,1718.0
Aftertaste,169573.0
Again,39571.09090909091
Again (feat. XXXTENTACION),83547.76923076923
Again (feat. XXXTENTACION) - Alan Walker Remix,104446.0
Again - Acoustic Version,112100.17391304347
Against All Odds,192906.0
Against All Odds (Take a Look at Me Now) - 2016 Remaster,4144.5
Against The Wind,1927.0
Aging out of the 20th Century,1263.0
Agony,1731.5
Agora Hills,52913.75
Agree to Disagree,172242.6
Agree to Disagree - Live,230746.0
"Ah, Miss",2786.0
Ahhh... Men,3436.0
Ai Se Eu Te Pego - Live,6306.0
Aim High,52500.0
Ain't Always The Cowboy,1393.0
Ain't Even Done With The Night,1393.0
Ain't Giving Up,40026.8
Ain't Gonna Stop,197106.0
Ain't Got the Blues,3783.0
Ain't It Fun,87603.04545454546
Ain't It Funny - Murder Remix,533.0
Ain't Killed Me Yet,74276.5
Ain't Looking For Love,174893.0
Ain't Much Left of Me,5751.166666666667
Ain't My Fault,157176.95
Ain't My Fault (feat. Lil Yachty) - Remix,198248.2
Ain't My Fault - R3hab Remix,90511.71428571429
Ain't No Man,3313.8571428571427
Ain't No Mountain High Enough,32861.21428571428
Ain't No Mountain High Enough - Edit Version,1880.0
Ain't No Mountain High Enough - Mono Version,53551.0
Ain't No Mountain High Enough - Stereo Version,146160.0
Ain't No Other Man,134380.77272727274
Ain't No Rest for the Wicked,54522.0
Ain't No Stopping,98835.5
Ain't No Sunshine,9112.625
Ain't No Way - Recorded at Spotify Studios NYC,196914.5
Ain't Nobody,178822.5
Ain't Nobody (Loves Me Better),12215.8
Ain't Nobody's Problem,149224.5
Ain't Nothin' Wrong,441.0
Ain't Nothing 'Bout You,3319.5
Ain't Nothing 'Bout You - with Brett Young,3088.0
Ain't Runnin' Outta Summer,7940.5
Ain't Shit,59235.333333333336
Ain't That A Kick In The Head - Remastered 1997,16406.0
Ain't That Love,104914.0
Ain't Together,3076.0
Ain't Too Proud To Beg,109069.25
Ain't Worth the Whiskey,96161.5
Ain't Your Mama,46078.333333333336
Aint Sayin Nothin,7875.0
Air,159396.25
Air Bud,38607.5
Air So Sweet,65300.0
Airbourne,185875.0
Airplanes (feat. Hayley Williams of Paramore),142248.75
"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",96254.5
Airstream Song,2205.0
Akaza Theme,87428.0
Al Hanissim,1160.0
Alane,29462.0
Alarm,1811.0
Alaska,1052.3333333333333
Alcatraz,1880.0
Alcohol You Later,125161.66666666667
Alcoholic,85013.0
Alejandro,121606.1
Alex,11989.0
Alexander Hamilton,3536.6666666666665
Alfred - Interlude,2672.230769230769
Alfred - Intro,1300.0
Alfred - Outro,616.875
Alfred’s Theme,1149.6666666666667
Alibi,47501.375
Alibi (feat. Rudimental),2205.0
Alibi (with Pabllo Vittar & Yseult),4179.0
Alice,41959.275862068964
Alice - Extended Version,51920.666666666664
Alien,82137.71428571429
Aliens Exist,1130.0
Alive,95888.72
Alive (with Offset & 2 Chainz),4086.0
Alive - Cahill Club Mix,9432.5
Alive With The Glory Of Love,242248.0
Alive With the Glory of Love,133435.1896551724
"Alkaholik (feat. Erik Sermon, J Ro & Tash)",40216.0
All About That Bass,112722.21100917431
All About That Bass (Extended Mix),4872.5
All About That Bass (Extended Mix) [Clean],8834.0
All About That Bass (No Treble),4752.0
All About That Bass - Karaoke,68413.33333333333
All About That Bass - Live from Spotify London,143317.125
All About That Bass Parody,2975.0
All About You,73251.33333333333
All About the Green,26349.9
All Alone,51750.166666666664
All Alone - Bonus Commentary,1979.0
All Alright,74142.28571428571
All Alright - Bonus Commentary,1091.0
All American Nightmare,57727.25
All Apologies,2902.0
All Around Me,99366.25
All Around The World (La La La),70533.66666666667
All Around the World,243889.0
All Choked Up Again,5387.0
All Cried Out (feat. 112) - Behind the scenes Video,2856.0
All Dat (with Megan Thee Stallion),16973.0
All Day,2969.5
All Day And Night - Jax Jones & Martin Solveig Present Europa,1764.5
All Day and All of the Night,4435.0
All Down The Line,0.0
All Eyes On Me,53342.333333333336
All Eyes On Us,3970.0
All Eyes On You,225673.0
All Eyes on You (feat. Chris Brown & Nicki Minaj),3111.0
All Falls Down (feat. Juliander),97146.25174825174
All Falls Down (feat. Juliander) - K-391 Remix,139505.0
All Falls Down (feat. Juliander) - Mio Remix,1671.0
All Falls Down (feat. Juliander) - Steve Aoki Remix,3436.0
All Fired Up,2193.5
All For Us,172096.11111111112
All For Us - from the HBO Original Series Euphoria,117208.25
All For You,3573.6666666666665
All For You - Original Broadway Cast Recording,196850.66666666666
All Good Things,1216.0
All I Am,7558.0
All I Ask,142003.59375
All I Ask of You (feat. Pennybirdrabbit),4643.0
"All I Ask of You (from ""The Phantom of the Opera"") [with Kelly Clarkson]",77187.0
All I Care About,39799.13636363636
All I Ever Need,15506.0
All I Ever Want Is You,7314.0
All I Ever Wanted,2391.0
All I Ever Wanted Was You,4783.0
All I Have to Do Is Dream,5502.5
All I Know,4272.0
All I Know So Far,32655.0
All I Need,50776.375
All I Need Is The Girl,16880.0
All I Need is the Girl,3656.5
All I See Is You,17063.117647058825
All I Think About Is You,54580.0
All I Wanna Do,11826.0
All I Wanna Do Is Make Love To You,2704.5
All I Wanna Do Is Sell Out,1021.0
All I Want,164029.35416666666
All I Want (For Christmas),127525.5
"All I Want - From ""High School Musical: The Musical: The Series""",42056.0
All I Want - Live at Vevo,148771.5172413793
All I Want For Christmas Is You,196657.0
All I Want For Christmas Is You (In The Style Of Mariah Carey),0.0
All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,240162.0
All I Want For Christmas Is You - Original Version,240558.0
All I Want Is You (This Christmas),7987.0
All I Want for Christmas,209615.0
All I Want for Christmas Is You,125598.18181818182
All I Wanted,100854.55555555556
All I Wanted (feat. Mark Hoppus),1648.0
All I'm Drinking 'Bout,1230.0
All I've Ever Known,40128.5
All I've Got To Do - Remastered 2009,2928.3333333333335
All In My Head (Flex) (feat. Fetty Wap),122117.0
All Kinds of Kinds,2066.0
All Love,41885.0
All Love Everything,147946.0
All Me,105312.9
All Men Are Pigs,227804.0
All Mine,129892.0
All My Christmases,36674.8
All My Days,297120.0
All My Ex's Live In Texas - Live,754.5
All My Exes' Moms,58177.13333333333
All My Favorite People (feat. Brothers Osborne),32947.52173913043
All My Favorite Songs (feat. AJR),44667.75
All My Friends,14508.0
All My Friends (feat. Tinashe & Chance the Rapper),72505.5
All My Friends Say,49835.0
All My Friends Say - Karaoke,53243.0
All My Heroes - Radio Edit,28271.1
All My Heroes - The Toxic Avenger Remix,82582.2
All My Life,5201.0
All My Life (feat. J. Cole),33160.75
All My Love,215655.2
All My Love - 1990 Remaster,120979.0
All My Love - Acoustic,92734.2
"All My Loving - From ""Across The Universe"" Soundtrack",84358.06666666667
All My Loving - Remastered 2009,94712.20408163265
All My Words,169092.33333333334
All Night,52827.470588235294
All Night - Alex Adair Remix,4388.0
All Night Long,145169.3818181818
All Night Long - Single Version,2368.0
All Night Longer,23057.0
All Night Parking (with Erroll Garner) Interlude,40173.4
All Nighter,1068.0
All Of Me,116735.26086956522
All Of The Girls You Loved Before,9621.0
All Of The Lights (Interlude),1728.0
