id,species,observed_on,created_on,updated_on,place,user,latitude,longitude,url
258609826,Eastern Mudsnail,2024-12-30 11:51:11-05:00,2025-01-15 20:29:45-05:00,2025-04-12 04:17:02-04:00,"Cape May County, NJ, USA",fishing_429,39.0348433997,-74.7687138997,https://www.inaturalist.org/observations/258609826
257920436,Mud Fiddler Crab,2024-08-27 13:00:02-04:00,2025-01-09 08:36:03-05:00,2025-01-10 17:16:16-05:00,"Cape May County, US-NJ, US",sb610,39.1165175839,-74.7408338463,https://www.inaturalist.org/observations/257920436
256978225,Eastern Mudsnail,2024-06-03 06:45:00-04:00,2025-01-01 02:53:59-05:00,2025-04-17 14:55:49-04:00,"Cape May, NJ 08204, USA",jmaughn,38.945449944,-74.8991819415,https://www.inaturalist.org/observations/256978225
256660746,Eastern Mudsnail,2024-12-29 13:07:15-05:00,2024-12-29 14:08:13-05:00,2025-04-17 04:22:05-04:00,"Gateway National Recreation Area, Highlands, NJ, US",tesgeorge,40.4482716667,-73.99733,https://www.inaturalist.org/observations/256660746
256389839,Atlantic Menhaden,2024-09-13 10:40:00-04:00,2024-12-27 11:17:23-05:00,2025-01-02 02:09:27-05:00,"Cape May, NJ, USA",upupa-epops,38.9285698,-74.933531,https://www.inaturalist.org/observations/256389839
255549595,Ipswich Sparrow,2024-12-18 10:36:00-05:00,2024-12-18 20:56:16-05:00,2024-12-19 19:45:59-05:00,"Ludlam Island, Strathmere, NJ, US",jackmcdonough,39.1822040811,-74.6698110435,https://www.inaturalist.org/observations/255549595
255425238,Atlantic Menhaden,2024-05-19 10:03:00-04:00,2024-12-17 16:23:47-05:00,2024-12-18 20:59:11-05:00,"Cape May County, NJ, USA",bcur155,38.9646987585,-74.9655049657,https://www.inaturalist.org/observations/255425238
254577091,Ipswich Sparrow,2024-12-07 09:50:00-05:00,2024-12-08 20:51:28-05:00,2025-04-14 09:28:29-04:00,"Barnegat Bay, New Jersey, USA",dvdrobinson,39.8672928,-74.1122506,https://www.inaturalist.org/observations/254577091
254257962,Northern Diamondback Terrapin,2024-10-07 13:53:00-04:00,2024-12-05 19:46:44-05:00,2025-02-25 22:31:06-05:00,"New Jersey, US",oliverpatrick,39.4910848971,-74.5039070273,https://www.inaturalist.org/observations/254257962
254251553,Ipswich Sparrow,2024-12-02 14:00:00-05:00,2024-12-05 18:20:47-05:00,2024-12-18 14:37:19-05:00,"Barnegat Light, NJ, USA",er-birds,39.7606802074,-74.0984035594,https://www.inaturalist.org/observations/254251553
254049481,Northern Diamondback Terrapin,2024-10-02 14:38:00-04:00,2024-12-03 18:16:16-05:00,2025-02-25 22:30:58-05:00,United States,meegsc,38.9541615291,-74.9662099632,https://www.inaturalist.org/observations/254049481
253221403,Atlantic Menhaden,2024-11-25 11:14:28-05:00,2024-11-26 17:47:54-05:00,2024-11-27 22:33:53-05:00,"Barnegat Light, NJ, USA",robertbrewer2,39.7531661944,-74.1023406944,https://www.inaturalist.org/observations/253221403
252216611,Atlantic Menhaden,2024-11-18 15:00:27-05:00,2024-11-18 19:28:10-05:00,2025-03-16 19:11:27-04:00,"North Atlantic Ocean, NJ, US",sweiss243,39.9310416667,-74.0715111667,https://www.inaturalist.org/observations/252216611
251824196,Eastern Mudsnail,2024-11-14,2024-11-15 18:47:35-05:00,2025-04-11 18:58:51-04:00,Beach Haven,rkluzco,39.5592818643,-74.2431961745,https://www.inaturalist.org/observations/251824196
251731662,Atlantic Menhaden,2024-11-10 09:56:00-05:00,2024-11-14 22:20:47-05:00,2025-04-11 16:34:52-04:00,"Cape May County, NJ, USA",bev435,38.9660156097,-74.9703410232,https://www.inaturalist.org/observations/251731662
251702814,Northern Diamondback Terrapin,2024-11-14 12:11:51-05:00,2024-11-14 16:15:50-05:00,2024-11-14 22:18:20-05:00,"New Jersey, US",rkluzco,39.517002102,-74.3229260427,https://www.inaturalist.org/observations/251702814
251494634,Northern Diamondback Terrapin,2024-09-29 08:00:14-04:00,2024-11-12 18:20:56-05:00,2024-11-13 00:28:21-05:00,United States,thesmilinggrinner,39.3252461906,-75.2465277504,https://www.inaturalist.org/observations/251494634
251387721,Atlantic Menhaden,2024-11-09 17:56:09-05:00,2024-11-11 20:41:57-05:00,2024-12-27 10:54:48-05:00,"Sea Girt, NJ 08750, USA",fishing_429,40.1383778,-74.0277179997,https://www.inaturalist.org/observations/251387721
251242950,Eastern Mudsnail,2024-11-03 15:10:40-05:00,2024-11-10 18:32:57-05:00,2025-02-10 13:41:19-05:00,"Jersey City, NJ 07305, USA",xiao89353,40.6951141698,-74.0690088272,https://www.inaturalist.org/observations/251242950
250482639,Eastern Mudsnail,2024-11-04 14:22:41-05:00,2024-11-04 15:36:59-05:00,2025-04-09 05:40:52-04:00,"Upper New York Bay, Jersey City, NJ, US",gwt2102,40.694375,-74.0653221667,https://www.inaturalist.org/observations/250482639
250482512,Eastern Mudsnail,2024-11-04 14:24:56-05:00,2024-11-04 15:36:17-05:00,2025-04-09 05:40:47-04:00,"Upper New York Bay, Jersey City, NJ, US",gwt2102,40.6944383333,-74.0651945,https://www.inaturalist.org/observations/250482512
250240194,Mud Fiddler Crab,2024-11-02 12:36:00-04:00,2024-11-02 23:47:09-04:00,2024-12-08 09:50:42-05:00,"The Wetlands Institute, 1075 Stone Harbor Blvd, Stone Harbor, NJ 08247, USA",hagrimes,39.0604868,-74.7731307,https://www.inaturalist.org/observations/250240194
250240193,Mud Fiddler Crab,2024-11-02 12:36:00-04:00,2024-11-02 23:47:09-04:00,2024-12-08 09:50:49-05:00,"The Wetlands Institute, 1075 Stone Harbor Blvd, Stone Harbor, NJ 08247, USA",hagrimes,39.0604868,-74.7731307,https://www.inaturalist.org/observations/250240193
249947014,Atlantic Menhaden,2024-10-26 13:52:44-04:00,2024-10-31 20:03:32-04:00,2025-04-08 11:53:23-04:00,"Port Republic, NJ, USA",fishing_429,39.5178744997,-74.4950531,https://www.inaturalist.org/observations/249947014
249922108,Northern Diamondback Terrapin,2024-10-31 15:43:10-04:00,2024-10-31 15:38:33-04:00,2025-03-01 15:37:04-05:00,"New Jersey, US",cynthia_varamo,39.5431613831,-74.2882671412,https://www.inaturalist.org/observations/249922108
249082086,Northern Diamondback Terrapin,2024-10-25 16:54:00-04:00,2024-10-25 18:29:10-04:00,2024-10-27 17:24:20-04:00,"New Jersey, US",jellyfishluvr84,39.6617618334,-74.3677578676,https://www.inaturalist.org/observations/249082086
249021857,Atlantic Menhaden,2024-10-24 11:11:56-04:00,2024-10-25 10:13:00-04:00,2024-11-07 20:57:52-05:00,"Manasquan River, Manasquan, NJ, US",purple_899,40.1062305,-74.0382,https://www.inaturalist.org/observations/249021857
249020165,Atlantic Menhaden,2024-10-24 11:11:56-04:00,2024-10-25 09:57:50-04:00,2024-10-27 11:35:26-04:00,"Manasquan River, Manasquan, NJ, US",blue26017,40.1062305,-74.0382,https://www.inaturalist.org/observations/249020165
248464621,Mud Fiddler Crab,2024-10-20 15:56:00-04:00,2024-10-21 12:01:56-04:00,2024-12-06 13:24:14-05:00,"Old Bridge, NJ, USA",hb2000,40.4394054314,-74.2729824398,https://www.inaturalist.org/observations/248464621
248249072,Mud Fiddler Crab,2024-10-19 15:31:15-04:00,2024-10-20 08:00:00-04:00,2025-04-06 09:54:43-04:00,"Stone Harbor, NJ 08247, USA",p8kale,39.0579166667,-74.7752,https://www.inaturalist.org/observations/248249072
248201747,Mud Fiddler Crab,2024-10-19 15:06:50-04:00,2024-10-19 23:51:45-04:00,2025-04-06 08:40:45-04:00,"Stone Harbor, NJ 08247, USA",pirateninjas,39.0600555556,-74.7730083333,https://www.inaturalist.org/observations/248201747
248122791,Eastern Mudsnail,2024-10-19 13:49:18-04:00,2024-10-19 15:03:18-04:00,2025-04-06 06:28:36-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US",luislirianoperez,40.404775,-73.97905,https://www.inaturalist.org/observations/248122791
248084689,Eastern Mudsnail,2024-10-19 11:35:47-04:00,2024-10-19 11:36:48-04:00,2025-04-06 05:33:35-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US",amagg24,40.4071212408,-73.9757484676,https://www.inaturalist.org/observations/248084689
248067506,Eastern Mudsnail,2024-10-19 09:46:22-04:00,2024-10-19 10:00:00-04:00,2025-04-06 05:08:24-04:00,"Atlantic City, NJ 08401, USA",swampythings,39.3572375253,-74.420889169,https://www.inaturalist.org/observations/248067506
247858295,Mud Fiddler Crab,2024-10-14 07:41:00-04:00,2024-10-17 23:14:43-04:00,2024-10-18 09:50:06-04:00,"Edwin B. Forsythe National Wildlife Refuge, 800 Great Creek Rd, Galloway, NJ 08205, USA",hannahfloyd_naturalist,39.4688757071,-74.4364621152,https://www.inaturalist.org/observations/247858295
247832416,Eastern Mudsnail,2024-10-17 17:27:25-04:00,2024-10-17 18:57:46-04:00,2025-04-05 23:30:18-04:00,Beach Haven,rkluzco,39.5592818643,-74.2431961745,https://www.inaturalist.org/observations/247832416
247832154,Eastern Mudsnail,2024-10-17 17:28:10-04:00,2024-10-17 18:55:40-04:00,2025-04-05 23:30:06-04:00,Beach Haven,rkluzco,39.5592818643,-74.2431961745,https://www.inaturalist.org/observations/247832154
247827890,Eastern Mudsnail,2024-10-17 17:29:11-04:00,2024-10-17 18:13:19-04:00,2024-11-14 22:15:31-05:00,"Beach Haven, NJ 08008, USA",rkluzco,39.5592795379,-74.2431961745,https://www.inaturalist.org/observations/247827890
247778322,Eastern Mudsnail,2024-10-16 11:45:00-04:00,2024-10-17 11:45:49-04:00,2024-10-18 07:26:21-04:00,"Beach Haven, NJ 08008, USA",rkluzco,39.5580404369,-74.2389583,https://www.inaturalist.org/observations/247778322
247487416,Northern Diamondback Terrapin,2024-05-02 14:10:41-04:00,2024-10-15 11:52:54-04:00,2024-10-17 08:08:58-04:00,"New Jersey, US",taybirdlovesthewild,39.4317816071,-74.2655978275,https://www.inaturalist.org/observations/247487416
247030728,Eastern Mudsnail,2024-10-12 12:00:55-04:00,2024-10-12 20:36:22-04:00,2025-04-05 12:35:29-04:00,"Upper Township, NJ, USA",fishing_429,39.2068435997,-74.6568649997,https://www.inaturalist.org/observations/247030728
247030127,Eastern Mudsnail,2024-10-12 11:55:07-04:00,2024-10-12 20:31:32-04:00,2025-04-05 12:35:19-04:00,"Ocean City, NJ 08226, USA",fishing_429,39.2067327997,-74.6569728,https://www.inaturalist.org/observations/247030127
246865117,Atlantic Menhaden,2024-10-11 16:07:58-04:00,2024-10-11 22:13:34-04:00,2024-10-12 08:30:57-04:00,United States,fishbruh,40.170895905,-74.1202967062,https://www.inaturalist.org/observations/246865117
246684542,Eastern Mudsnail,2024-10-10 12:25:34-04:00,2024-10-10 17:25:12-04:00,2024-10-11 18:03:59-04:00,"Keansburg, NJ, USA",rhroy,40.4555198997,-74.1736652,https://www.inaturalist.org/observations/246684542
246683252,Eastern Mudsnail,2024-10-09 16:53:40-04:00,2024-10-10 17:15:35-04:00,2025-04-05 10:13:17-04:00,"Sandy Hook, Middletown Township, NJ, USA",rhroy,40.4048402997,-73.9793039997,https://www.inaturalist.org/observations/246683252
246677887,Mud Fiddler Crab,2024-10-09 09:01:28-04:00,2024-10-10 16:34:36-04:00,2024-10-10 17:55:21-04:00,"Galloway, NJ 08205, USA",rhroy,39.4631479997,-74.4487938,https://www.inaturalist.org/observations/246677887
246635506,Atlantic Menhaden,2024-10-10 11:06:01-04:00,2024-10-10 11:25:19-04:00,2024-10-12 01:49:48-04:00,"Port Norris, NJ 08349, USA",dwelch477,39.2953871246,-75.1234321296,https://www.inaturalist.org/observations/246635506
246564878,Mud Fiddler Crab,2024-10-09 08:59:12-04:00,2024-10-09 21:48:15-04:00,2024-10-10 10:07:26-04:00,"Leeds Eco Trail, Absecon, NJ, US",nathalier71,39.4631466667,-74.4487966667,https://www.inaturalist.org/observations/246564878
246562925,Eastern Mudsnail,2024-10-09 16:49:41-04:00,2024-10-09 21:28:32-04:00,2024-10-10 12:20:04-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US",nathalier71,40.40817,-73.980575,https://www.inaturalist.org/observations/246562925
246562692,Eastern Mudsnail,2024-10-09 17:18:08-04:00,2024-10-09 21:25:24-04:00,2024-10-10 12:20:22-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US",nathalier71,40.4078883333,-73.980675,https://www.inaturalist.org/observations/246562692
246461079,Mud Fiddler Crab,2024-10-05 16:17:00-04:00,2024-10-09 08:29:11-04:00,2025-04-02 23:26:00-04:00,"Galloway, NJ, USA",mikhailfavorov,39.4648171696,-74.4476806924,https://www.inaturalist.org/observations/246461079
246394878,Mud Fiddler Crab,2024-09-05 09:40:00-04:00,2024-10-08 19:23:57-04:00,2024-10-08 21:09:44-04:00,"Lighthouse Center for Natural Resource Education, Navajo Drive, Waretown, Ocean Twp, NJ, USA",naturejeanne,39.771372676,-74.1915449399,https://www.inaturalist.org/observations/246394878
246394877,Mud Fiddler Crab,2024-09-05 09:40:00-04:00,2024-10-08 19:23:56-04:00,2024-10-08 21:09:48-04:00,"Lighthouse Center for Natural Resource Education, Navajo Drive, Waretown, Ocean Twp, NJ, USA",naturejeanne,39.7713755107,-74.1915482926,https://www.inaturalist.org/observations/246394877
246394876,Mud Fiddler Crab,2024-09-05 09:40:00-04:00,2024-10-08 19:23:56-04:00,2024-10-08 21:09:58-04:00,"Lighthouse Center for Natural Resource Education, Navajo Drive, Waretown, Ocean Twp, NJ, USA",naturejeanne,39.7713780876,-74.1915492984,https://www.inaturalist.org/observations/246394876
246384291,Mud Fiddler Crab,2024-10-03 15:08:00-04:00,2024-10-08 17:51:27-04:00,2024-10-08 18:19:53-04:00,"Edwin B. Forsythe National Wildlife Refuge, 800 Great Creek Rd, Galloway, NJ 08205, USA",mdrunner,39.4644363,-74.4505376,https://www.inaturalist.org/observations/246384291
246357070,Northern Diamondback Terrapin,2024-10-07 13:54:48-04:00,2024-10-08 14:42:53-04:00,2024-10-08 18:09:15-04:00,"New Jersey, US",oliverpatrick,39.5807062301,-74.4354824827,https://www.inaturalist.org/observations/246357070
246213406,Northern Diamondback Terrapin,2024-09-14 12:04:00-04:00,2024-10-07 16:05:16-04:00,2024-10-07 19:31:17-04:00,"New Jersey, US",naturejeanne,39.4666016747,-74.5578956958,https://www.inaturalist.org/observations/246213406
246213405,Mud Fiddler Crab,2024-09-14 10:16:00-04:00,2024-10-07 16:05:16-04:00,2024-10-07 16:14:33-04:00,"Leeds Eco-Trail, Edwin B. Forsythe National Wildlife Refuge, Galloway, NJ, USA",naturejeanne,39.462411315,-74.4495618694,https://www.inaturalist.org/observations/246213405
246100048,Northern Diamondback Terrapin,2024-04-24 17:20:53-04:00,2024-10-07 00:29:23-04:00,2024-10-07 08:17:57-04:00,"New Jersey, US",charlieflann,39.3159596286,-74.4215724187,https://www.inaturalist.org/observations/246100048
246093913,Mud Fiddler Crab,2024-10-06 15:39:00-04:00,2024-10-06 23:40:16-04:00,2024-10-07 09:41:44-04:00,"Lighthouse Rd, Heislerville, NJ, US",julesmc127,39.1962633064,-75.0264106023,https://www.inaturalist.org/observations/246093913
245832576,Atlantic Menhaden,2024-09-21 13:00:21-04:00,2024-10-05 18:05:48-04:00,2024-10-06 18:24:37-04:00,"Shell Pile, Wildwood, NJ, US",profishing,38.9498633378,-74.8568534823,https://www.inaturalist.org/observations/245832576
245663227,Mud Fiddler Crab,2024-10-04 13:40:45-04:00,2024-10-04 21:03:10-04:00,2024-10-04 22:30:09-04:00,Edwin B. Forsythe National Wildlife Refuge,earlistotle,39.4644363188,-74.4505376369,https://www.inaturalist.org/observations/245663227
245511444,Mud Fiddler Crab,2024-10-03 10:36:00-04:00,2024-10-03 22:39:01-04:00,2024-10-04 09:00:21-04:00,"galloway, nj",w293766628_w,39.492824,-74.559688,https://www.inaturalist.org/observations/245511444
245488068,Mud Fiddler Crab,2024-09-13 15:55:00-04:00,2024-10-03 19:17:30-04:00,2024-10-03 21:09:07-04:00,"Lighthouse Center for Natural Resource Education, Navajo Drive, Waretown, Ocean Twp, NJ, USA",naturejeanne,39.7725292014,-74.1924121093,https://www.inaturalist.org/observations/245488068
245450086,Mud Fiddler Crab,2024-10-03 15:10:45-04:00,2024-10-03 15:11:48-04:00,2024-10-06 10:32:33-04:00,"West Side, Jersey City, NJ, USA",tcarlin03,40.72837846,-74.0920036,https://www.inaturalist.org/observations/245450086
245290758,Atlantic Menhaden,2024-10-02 16:09:57-04:00,2024-10-02 16:14:26-04:00,2024-10-04 00:27:20-04:00,"Lower Township, NJ, USA",annamarie16,38.9549527778,-74.908975,https://www.inaturalist.org/observations/245290758
245290054,Atlantic Menhaden,2024-10-02 16:10:28-04:00,2024-10-02 16:10:38-04:00,2024-10-02 18:34:13-04:00,"Cape May Harbor, Cape May, NJ, US",aidan17,38.9452663204,-74.9001525623,https://www.inaturalist.org/observations/245290054
245173079,Atlantic Menhaden,2024-09-24,2024-10-01 22:22:06-04:00,2024-10-04 00:27:39-04:00,"Lower Township, NJ, USA",abcdefgewing,38.9606333333,-74.9599388889,https://www.inaturalist.org/observations/245173079
245169247,Mud Fiddler Crab,2024-09-28 13:03:00-04:00,2024-10-01 21:46:33-04:00,2024-10-01 22:21:50-04:00,"Galloway, NJ, USA",zhelicarol,39.4680960376,-74.4469224192,https://www.inaturalist.org/observations/245169247
244933289,Northern Diamondback Terrapin,2024-09-30 13:38:06-04:00,2024-09-30 13:34:02-04:00,2024-09-30 18:31:14-04:00,"New Jersey, US",cynthia_varamo,39.7468706951,-74.3257873193,https://www.inaturalist.org/observations/244933289
244933151,Northern Diamondback Terrapin,2024-09-30 13:37:01-04:00,2024-09-30 13:33:17-04:00,2024-10-26 12:59:42-04:00,"New Jersey, US",cynthia_varamo,39.6097368421,-74.365356862,https://www.inaturalist.org/observations/244933151
244932918,Northern Diamondback Terrapin,2024-09-30 13:35:42-04:00,2024-09-30 13:32:13-04:00,2024-10-26 12:59:35-04:00,"New Jersey, US",cynthia_varamo,39.7539202939,-74.3279352398,https://www.inaturalist.org/observations/244932918
244907587,Mud Fiddler Crab,2024-09-30 10:43:38-04:00,2024-09-30 10:45:08-04:00,2025-03-25 17:26:39-04:00,"Henry Hudson Trail, Union Beach, NJ, US",ryman56,40.4433283333,-74.1583778333,https://www.inaturalist.org/observations/244907587
244891965,Mud Fiddler Crab,2024-09-29 12:47:03-04:00,2024-09-30 08:54:19-04:00,2024-09-30 09:45:13-04:00,"West Cape May, NJ 08204, USA",rkluzco,38.9510130997,-74.9101215997,https://www.inaturalist.org/observations/244891965
244891942,Mud Fiddler Crab,2024-09-29 12:47:38-04:00,2024-09-30 08:54:05-04:00,2024-09-30 09:46:16-04:00,"West Cape May, NJ 08204, USA",rkluzco,38.9510275,-74.9101155997,https://www.inaturalist.org/observations/244891942
244884788,Mud Fiddler Crab,2024-09-29 12:54:33-04:00,2024-09-30 07:49:14-04:00,2024-09-30 08:45:48-04:00,"West Cape May, NJ 08204, USA",rkluzco,38.951295,-74.909801,https://www.inaturalist.org/observations/244884788
244884766,Mud Fiddler Crab,2024-09-29 12:54:36-04:00,2024-09-30 07:49:07-04:00,2024-09-30 08:45:49-04:00,"West Cape May, NJ 08204, USA",rkluzco,38.9512919,-74.9097991,https://www.inaturalist.org/observations/244884766
244809204,Atlantic Menhaden,2024-09-24 10:31:56-04:00,2024-09-29 19:40:38-04:00,2024-09-29 19:45:58-04:00,"Cape Island, Cape May, NJ, US",prairieboy,38.960605,-74.9599916667,https://www.inaturalist.org/observations/244809204
244622054,Northern Diamondback Terrapin,2021-09-04 20:33:00-04:00,2024-09-28 22:49:28-04:00,2024-09-29 19:05:11-04:00,"New Jersey, US",panthers-manatees-cranes,39.2032586108,-74.5770861613,https://www.inaturalist.org/observations/244622054
244515058,Mud Fiddler Crab,2024-09-13 12:21:22-04:00,2024-09-28 12:19:16-04:00,2024-12-03 14:01:41-05:00,"Great Bay Blvd, Little Egg Harbor Twp, NJ, US",sectus,39.5087966667,-74.3241883333,https://www.inaturalist.org/observations/244515058
244499574,Mud Fiddler Crab,2024-09-28 10:58:27-04:00,2024-09-28 10:59:15-04:00,2024-09-28 11:07:02-04:00,"Reeds Bay, Absecon, NJ, US",dbernard,39.4457298904,-74.4265797485,https://www.inaturalist.org/observations/244499574
244474869,Mud Fiddler Crab,2024-09-28 08:24:53-04:00,2024-09-28 08:25:04-04:00,2025-04-05 01:15:14-04:00,"Cape Island, Cape May, NJ, US",mollycohn,38.9460966667,-74.9224466667,https://www.inaturalist.org/observations/244474869
244394019,Atlantic Menhaden,2024-09-27 16:31:12-04:00,2024-09-27 18:44:03-04:00,2024-09-28 13:26:59-04:00,"Bayshore, Sayreville, NJ, US",greenwoods,40.4763416667,-74.2669966667,https://www.inaturalist.org/observations/244394019
244060540,Atlantic Menhaden,2024-09-22 10:52:46-04:00,2024-09-25 20:12:32-04:00,2024-09-28 13:27:11-04:00,"Little Egg Harbor Township, NJ 08087, USA",fishing_429,39.5389417,-74.3255699997,https://www.inaturalist.org/observations/244060540
244060289,Eastern Mudsnail,2024-09-22 10:46:07-04:00,2024-09-25 20:11:20-04:00,2025-04-04 23:54:11-04:00,"Little Egg Harbor Township, NJ 08087, USA",fishing_429,39.5389934,-74.3257351,https://www.inaturalist.org/observations/244060289
244028529,Northern Diamondback Terrapin,2024-09-25 14:49:40-04:00,2024-09-25 16:05:59-04:00,2024-09-26 09:16:12-04:00,United States,beluga-belly,38.8207307959,-74.8395159695,https://www.inaturalist.org/observations/244028529
243215549,Mud Fiddler Crab,2024-09-21 15:28:00-04:00,2024-09-21 19:58:57-04:00,2024-09-22 19:30:04-04:00,"Ventnor City, NJ, USA",tmthy_prsns,39.3462472222,-74.4893722222,https://www.inaturalist.org/observations/243215549
243176837,Atlantic Menhaden,2024-09-21 14:21:44-04:00,2024-09-21 16:27:26-04:00,2025-04-04 20:57:43-04:00,"Gateway National Recreation Area, Highlands, NJ, US",crifket,40.45118,-74.0020611167,https://www.inaturalist.org/observations/243176837
243006568,Mud Fiddler Crab,2024-09-20 23:38:54-04:00,2024-09-20 23:39:37-04:00,2024-09-21 09:07:06-04:00,New Jersey,earlistotle,40.0515602958,-74.4056612626,https://www.inaturalist.org/observations/243006568
242788540,Northern Diamondback Terrapin,2024-09-19 14:34:33-04:00,2024-09-19 21:55:32-04:00,2025-01-28 18:42:59-05:00,United States,georgek22,38.9644540115,-74.8775173924,https://www.inaturalist.org/observations/242788540
242738296,Northern Diamondback Terrapin,2024-09-19 14:34:33-04:00,2024-09-19 15:56:04-04:00,2024-09-20 10:08:24-04:00,United States,aidan17,38.9090777435,-74.8587506298,https://www.inaturalist.org/observations/242738296
242727024,Mud Fiddler Crab,2024-09-19 14:48:22-04:00,2024-09-19 14:48:29-04:00,2024-09-19 17:56:10-04:00,"Cape Island Creek, Cape May, NJ, US",aidan17,38.9405567718,-74.921542131,https://www.inaturalist.org/observations/242727024
242715039,Eastern Mudsnail,2024-09-19 13:43:15-04:00,2024-09-19 13:43:25-04:00,2025-04-04 19:21:42-04:00,"Cape Island Creek, Cape May, NJ, US",aidan17,38.9494353038,-74.9140913385,https://www.inaturalist.org/observations/242715039
242589554,Eastern Mudsnail,2024-09-16 18:44:36-04:00,2024-09-18 20:15:31-04:00,2025-04-08 01:44:21-04:00,"Cape May County, US-NJ, US",fishing_429,39.0572268013,-74.7921202767,https://www.inaturalist.org/observations/242589554
242327948,Northern Diamondback Terrapin,2024-09-16 18:02:24-04:00,2024-09-17 13:44:19-04:00,2024-09-23 11:28:12-04:00,"New Jersey, US",dodomae98,39.3877795752,-74.7394435972,https://www.inaturalist.org/observations/242327948
242072398,Mud Fiddler Crab,2024-09-15 11:50:21-04:00,2024-09-16 07:22:01-04:00,2024-09-16 08:50:21-04:00,"Union Beach, NJ 07735, USA",danielmorton,40.4432972222,-74.1590694444,https://www.inaturalist.org/observations/242072398
241999817,Atlantic Menhaden,2023-05-17 03:21:00-04:00,2024-09-15 20:54:15-04:00,2024-09-16 11:36:14-04:00,"Sandy Hook, Middletown Township, NJ, USA",diatom_racer,40.4686913454,-73.99848593,https://www.inaturalist.org/observations/241999817
241974151,Northern Diamondback Terrapin,2024-09-08 15:55:59-04:00,2024-09-15 18:21:03-04:00,2024-09-16 15:20:36-04:00,"Cape May County, US-NJ, US",etallo,39.0622348045,-74.6247998666,https://www.inaturalist.org/observations/241974151
241951351,Mud Fiddler Crab,2024-09-15 10:02:00-04:00,2024-09-15 16:20:57-04:00,2024-09-15 20:05:02-04:00,"Middle Township, NJ, USA",asherfusco,39.0593371487,-74.7733774632,https://www.inaturalist.org/observations/241951351
241917041,Mud Fiddler Crab,2024-09-15 11:50:43-04:00,2024-09-15 13:42:24-04:00,2024-09-16 07:21:59-04:00,"Union Beach, NJ 07735, USA",danielmorton,40.4432916667,-74.1590722222,https://www.inaturalist.org/observations/241917041
241903007,Mud Fiddler Crab,2024-09-13 11:54:35-04:00,2024-09-15 12:34:51-04:00,2024-09-15 14:37:30-04:00,"Stone Harbor Blvd, Stone Harbor, NJ, US",mayclements,39.0590945,-74.7740083333,https://www.inaturalist.org/observations/241903007
